Transaction Date,Debit/Credit,Reference Number,Card No.,Description
"02/24/2025","-19.75","*",,"TOM THUMB #2643 ADDISON TX"
"03/01/2025","-37.52","*",,"TST*WABI HOUSE - FRISC FRISCO TX"
"03/01/2025","-2072.33","*",,"BPS*BILT REWARDS B NEW YORK NY"
"03/05/2025","14.44","*",,"Pay With Points Statement Credit"
"03/09/2025","2065","*",,"Bill Pay Payment"
"03/16/2025","81.17","*",,"Bill Pay Payment"
"04/01/2025","-2064.91","*",,"BPS*BILT REWARDS B NEW YORK NY"
"04/02/2025","2064.91","*",,"Bill Pay Payment"
"04/04/2025","-41.3","*",,"TST*CHINCHIKURIN - DAL CARROLLTON TX"
"04/04/2025","-7.15","*",,"85C BAKERY CAFE USA CARROLLTON TX"
"04/06/2025","-5.11","*",,"SQ *DIMASSI S GRAPEVIN GRAPEVINE TX"
"04/06/2025","-10.12","*",,"CHIPOTLE 2774 IRVING TX"
"04/07/2025","12.23","*",,"PAY WITH POINTS STATEMENT CREDIT"
"04/10/2025","-6","*",,"256 BRAUMS STORE DALLAS TX"
"04/14/2025","57.45","*",,"Bill Pay Payment"
"04/15/2025","-8.67","*",,"SUBWAY 31141 DALLAS TX"
"04/18/2025","-6","*",,"256 BRAUMS STORE DALLAS TX"
"04/19/2025","-30.31","*",,"THAI ORCHID RESTAURANT DALLAS TX"
"04/25/2025","-16","*",,"SQ *TASTE OF CUBA ADDISON TX"
"04/25/2025","-6","*",,"091 BRAUMS STORE CARROLLTON TX"
"04/25/2025","-14.64","*",,"MANDOLOUN FOOD AND BEV ADDISON TX"
"05/01/2025","-2139.51","*",,"BPS*BILT RENT NEW YORK NY"
"05/02/2025","-28.14","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"05/02/2025","13.86","*",,"PAY WITH POINTS STATEMENT CREDIT"
"05/03/2025","-18.39","*",,"FADIS MEDITERRANEAN GR FRISCO TX"
"05/03/2025","2207.27","*",,"Bill Pay Payment"
"05/09/2025","-28.14","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"05/14/2025","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"05/15/2025","74.67","*",,"Bill Pay Payment"
"05/16/2025","-12.45","*",,"PANDA EXPRESS #2189 FARMERS BRANC TX"
"05/18/2025","-38.93","*",,"TST*THE NEST CAFE - FR FRISCO TX"
"05/23/2025","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"05/24/2025","-14.61","*",,"TST*TOO THAI STREET EA CARROLLTON TX"
"06/02/2025","-2128.38","*",,"BPS*BILT RENT NEW YORK NY"
"06/03/2025","14.32","*",,"PAY WITH POINTS STATEMENT CREDIT"
"06/06/2025","-28.14","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"06/07/2025","-4.59","*",,"256 BRAUMS STORE DALLAS TX"
"06/10/2025","2128","*",,"ONLINE ACH PAYMENT REF #G5F2222Z6H"
"06/13/2025","103.54","*",,"ONLINE ACH PAYMENT REF #G5F2223SZM"
"06/14/2025","-35.7","*",,"TST* KAKATIYA - IRVING IRVING TX"
"06/15/2025","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"12/09/2024","11.35","*",,"Pay With Points Statement Credit"
"12/08/2024","-14.07","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"12/08/2024","-56.12","*",,"WAL-MART #3406 DALLAS TX"
"12/08/2024","-9.38","*",,"263 BRAUMS STORE DALLAS TX"
"12/08/2024","-33.75","*",,"PATEL BROTHERS PLANO PLANO TX"
"12/08/2024","2065.93","*",,"Bill Pay Payment"
"12/02/2024","-2065.93","*",,"BPS*BILT REWARDS B NEW YORK NY"
"11/13/2024","149.72","*",,"Bill Pay Payment"
"11/06/2024","2065","*",,"Bill Pay Payment"
"11/04/2024","16.8","*",,"Pay With Points Statement Credit"
"11/04/2024","67.99","*",,"Bill Pay Payment"
"11/01/2024","-2064.56","*",,"BPS*BILT REWARDS B NEW YORK NY"
"10/25/2024","-44.17","*",,"MONKS IRVING IRVING TX"
"10/19/2024","-8.11","*",,"SQ *KRISHNA JUICE & CH RICHARDSON TX"
"10/18/2024","-91.23","*",,"NAMAK INDIAN RESTAURAN DALLAS TX"
"10/16/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"10/13/2024","-14.07","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"10/12/2024","-82.14","*",,"TST* BETO AND SONS DALLAS TX"
"10/06/2024","14.15","*",,"Pay With Points Statement Credit"
"10/05/2024","2187.85","*",,"Bill Pay Payment"
"10/01/2024","-2064.97","*",,"BPS*BILT REWARDS B NEW YORK NY"
"10/01/2024","-10.01","*",,"CHIPOTLE 0197 ADDISON TX"
"09/27/2024","-13","*",,"EL TACASO DALLAS TX"
"09/22/2024","-83.31","*",,"TST* SIMPLY SOUTH- IRV IRVING TX"
"09/18/2024","-16.56","*",,"PANDA EXPRESS #2189 FARMERS BRANC TX"
"09/18/2024","37.52","*",,"Bill Pay Payment"
"09/16/2024","42.52","*",,"Bill Pay Payment"
"09/15/2024","-9.38","*",,"058 BRAUMS STORE CARROLLTON TX"
"09/13/2024","-28.14","*",,"TST*BEST THAI SIGNATUR ADDISON TX"
"09/08/2024","14.04","*",,"Pay With Points Statement Credit"
"09/08/2024","2218","*",,"Bill Pay Payment"
"09/07/2024","-42.21","*",,"TST* SIMPLY SOUTH- IRV IRVING TX"
"09/04/2024","-2.54","*",,"TARGET 00018507 ADDISON TX"
"09/03/2024","-2058.82","*",,"BPS*BILT REWARDS B NEW YORK NY"
"09/01/2024","-142.85","*",,"CSP*BREAKOUT PLANO PLANO TX"
"08/31/2024","-28.14","*",,"TST*BEST THAI SIGNATUR 972-386-3353 TX"
"08/03/2024","13.79","*",,"Pay With Points Statement Credit"
"08/03/2024","2054.21","*",,"Bill Pay Payment"
"08/01/2024","-2059.22","*",,"BPS*BILT REWARDS B NEW YORK NY"
"08/01/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"07/29/2024","9.38","*",,"Bill Pay Payment"
"07/25/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"07/24/2024","58.57","*",,"Bill Pay Payment"
"07/22/2024","-16.3","*",,"TST* GWALIA SWEETS & R FRISCO TX"
"07/21/2024","-16.23","*",,"RED HOT CHILLI PEPPER FRISCO TX"
"07/20/2024","-26.04","*",,"SQ *KRISHNA JUICE & CH RICHARDSON TX"
"07/18/2024","9.38","*",,"Bill Pay Payment"
"07/14/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"07/09/2024","90.88","*",,"Bill Pay Payment"
"07/08/2024","17.42","*",,"Pay With Points Statement Credit"
"07/04/2024","-98.49","*",,"SA-BY THAI SAN JOSE CA"
"07/04/2024","-9.81","*",,"SUN SHOPS, INC - SANTA SANTA CRUZ CA"
"07/04/2024","95.62","*",,"Bill Pay Payment"
"07/02/2024","-95.62","*",,"BPS*BILT REWARDS B NEW YORK NY"
"07/01/2024","84.21","*",,"Bill Pay Payment"
"06/28/2024","-27.24","*",,"FEAST INDIA COMPANY SAN JOSE CA"
"06/28/2024","-56.97","*",,"PURANPOLI SANTA CLARA CA"
"06/04/2024","13.66","*",,"Bill Pay Payment"
"06/02/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"06/02/2024","14.91","*",,"Pay With Points Statement Credit"
"06/02/2024","2000","*",,"Bill Pay Payment"
"05/30/2024","-23.19","*",,"DFW CHICK-FIL-A DFW INTER AIR TX"
"05/30/2024","-1996","*",,"BPS*BILT REWARDS B NEW YORK NY"
"05/29/2024","38.86","*",,"Bill Pay Payment"
"05/28/2024","-31.87","*",,"TST* BAR LOUIE - MUSIC IRVING TX"
"05/25/2024","-6.99","*",,"TOM THUMB #2643 ADDISON TX"
"05/23/2024","95.53","*",,"Bill Pay Payment"
"05/20/2024","10.37","*",,"Bill Pay Payment"
"05/19/2024","-26.91","*",,"TST* THE RESERVE IRVING TX"
"05/18/2024","-68.62","*",,"TST* THIRSTY LION GAST IRVING TX"
"05/17/2024","14.07","*",,"Bill Pay Payment"
"05/16/2024","-10.37","*",,"256 BRAUMS STORE DALLAS TX"
"05/15/2024","20.22","*",,"Bill Pay Payment"
"05/14/2024","-14.07","*",,"TST* BEST THAI SIGNATU ADDISON TX"
"05/10/2024","-14.06","*",,"TST* DESI DISTRICT - I IRVING TX"
"05/10/2024","-12.99","*",,"MONKS IRVING IRVING TX"
"05/07/2024","-9.38","*",,"256 BRAUMS STORE DALLAS TX"
"05/03/2024","16.21","*",,"Pay With Points Statement Credit"
"05/02/2024","2186.57","*",,"Bill Pay Payment"
"04/30/2024","-2186.57","*",,"BPS*BILT REWARDS B NEW YORK NY"
"04/30/2024","6","*",,"Bill Pay Payment"
"04/28/2024","-6","*",,"256 BRAUMS STORE DALLAS TX"
"04/28/2024","19.03","*",,"Bill Pay Payment"
"04/24/2024","-19.03","*",,"GENGHIS GRILL TX01 ADDISON TX"
"04/24/2024","19","*",,"Bill Pay Payment"
"04/20/2024","-6","*",,"256 BRAUMS STORE DALLAS TX"
"04/19/2024","-13","*",,"EL TACASO DALLAS TX"
"04/19/2024","3.98","*",,"Bill Pay Payment"
"04/18/2024","129.47","*",,"Bill Pay Payment"
"04/17/2024","-3.98","*",,"WAL-MART #2105 FARMERS BRANC TX"
"04/13/2024","-129.47","*",,"BARNEY S BRUNCH HOUSE FRISCO TX"
"04/09/2024","70.64","*",,"Bill Pay Payment"
"04/06/2024","-70.64","*",,"TST* MISTER 01 DALLAS DALLAS TX"
"04/05/2024","9.85","*",,"Bill Pay Payment"
"04/03/2024","-9.85","*",,"CHIPOTLE 0465 MESQUITE TX"
"04/02/2024","13.57","*",,"Pay With Points Statement Credit"
"04/01/2024","1561.4","*",,"Bill Pay Payment"
"03/29/2024","-1574.97","*",,"BPS*BILT REWARDS B NEW YORK NY"
"03/26/2024","166.72","*",,"Bill Pay Payment"
"03/23/2024","-112.86","*",,"MI DIA FROM SCRATCH - PLANO TX"
"03/23/2024","13.46","*",,"Bill Pay Payment"
"03/22/2024","-28.98","*",,"CRIS AND JOHN DALLAS TX"
"03/22/2024","-24.88","*",,"AMC 0840 IRVING MALL 1 IRVING TX"
"03/21/2024","-13.46","*",,"WAL-MART #2105 FARMERS BRANC TX"
